Unnamed: 0,Aave,Algorand,Avalanche,Binance Coin,Bitcoin Cash,Bitcoin,Bitcoin SV,BitTorrent,Cardano,Chainlink,Compound,Cosmos,Crypto.com Coin,Dai,Dash,Decred,Dogecoin,DREP,Elrond,EOS,Ethereum Classic,Ethereum,Filecoin,FTX Token,Huobi Token,IOTA,Kusama,Litecoin,Maker,Monero,NEM,Neo,OKB,Polkadot,Polygon,Qtum,Solana,Stellar,THETA,THORChain,TRON,UNUS SED LEO,USD Coin,Uniswap,VeChain,Wrapped Bitcoin,XRP,Zcash,
2018-01-01,,,,8.7,2412.6,13921.5,,,0.715,,,,,,1038.6,,0.00899,,,7.95,31.69,762.0,,,,4.2,,232.29,,344.8,1.06,80.43,,,,55.0,,0.5231,,,0.049,,,,2.48,,2.09,553.77,
2018-01-02,,,,9.11,2745.5,15306.1,,,0.8,,,,,,1195.4,,0.009878,,,8.6,34.38,890.0,,,,4.25,,262.0,,370.48,1.17,99.61,,,,55.45,,0.5898,,,0.076,,,,2.7,,2.21,570.0,
2018-01-03,,,,9.47,2775.0,15435.0,,,1.09,,,,,,1171.7,,0.009345,,,9.43,33.77,954.73,,,,4.18,,258.54,,390.0,1.78,106.64,,,,55.33,,0.9199,,,0.0786,,,,4.0,,2.85,568.0,
2018-01-04,,,,9.46,2563.5,15408.7,,,1.35,,,,,,1200.0,,0.0103,,,10.5,37.08,997.0,,,,4.5,,245.0,,387.83,2.06,109.78,,,,52.49,,0.91,,,0.175225,,,,4.23,,3.29,562.67,
2018-01-05,,,,16.82,2530.9,17126.9,,,1.3,,,,,,1160.0,,0.01395,,,9.85,35.25,1023.6,,,,4.19,,251.97,,377.49,1.81,106.7,,,,61.0,,0.78,,,0.2244,,,,4.85,,3.05,555.2,
2018-01-06,,,,23.6,2648.5,17252.8,,,1.082999,,,,,,1183.9,,0.0175,,,9.9,34.64,1014.2,,,,4.14,,304.0,,395.99,1.7,103.69,,,,74.0,,0.77,,,0.229112,,,,5.9,,2.85,662.0,
2018-01-07,,,,22.66,2758.9,17184.8,,,1.05343,,,,,,1247.3,,0.019,,,10.9,36.07,1116.0,,,,4.44,,286.95,,421.0,1.9,109.0,,,,82.0,,0.7349,,,0.196712,,,,6.1,,2.82,795.0,
2018-01-08,,,,19.3,2575.1,16302.9,,,1.013,,,,,,1185.8,,0.018,,,10.39,38.5,1225.0,,,,4.2009,,273.67,,409.37,1.8,107.9,,,,63.98,,0.709,,,0.201111,,,,4.95,,2.78,758.7,
2018-01-09,,,,20.61,2486.6,15324.6,,,0.929,,,,,,1130.0,,0.015441,,,9.74,38.6134,1299.0,,,,3.9199,,258.75,,447.804,1.69,131.42,,,,58.1,,0.643,,,0.153,,,,5.0,,2.28746,720.34,
2018-01-10,,,,17.56,2934.4,15045.4,,,0.829042,,,,,,1108.6,,0.0136,,,11.48,39.1264,1381.9,,,,3.7627,,249.67,,416.293,1.4704,126.79,,,,57.0,,0.5744,,,0.1395,,,,7.3,,2.1822,720.0,
2018-01-11,,,,23.0,2958.5,15109.1,,,0.782876,,,,,,1103.9,,0.01422,,,12.45,38.0214,1331.8,,,,3.799,,253.0,,416.375,1.42454,124.4,,,,53.44,,0.62656,,,0.125,,,,7.9,,2.19216,729.0,
2018-01-12,,,,24.64,2624.2,14176.4,,,0.922121,,,,,,1062.6,,0.013158,,,15.22,36.6654,1285.0,,,,3.6941,,241.97,,390.223,1.39885,126.3,,,,51.989,,0.71009,,,0.11125,,,,7.29,,2.12478,711.99,
2018-01-13,,,,23.5,2879.6,14640.7,,,0.95785,,,,,,1128.6,,0.013295,,,18.655,42.6155,1423.2,,,,4.08,,263.0,,428.815,1.51418,146.9,,,,57.5,,0.71657,,,0.10903,,,,6.9,,2.11762,720.0,
2018-01-14,,,,22.1,2726.9,14446.1,,,0.879,,,,,,1107.5,,0.012345,,,16.086,47.1444,1385.0,,,,3.9584,,267.98,,434.18,1.46577,169.0,,,,55.5,,0.65938,,,0.102799,,,,7.6,,2.04136,714.95,
2018-01-15,,,,23.23,2554.0,14396.6,,,0.866629,,,,,,1031.7,,0.0114,,,14.7,44.4183,1377.9,,,,3.7744,,244.2,,436.754,1.45135,198.2,,,,58.24,,0.674,,,0.094,,,,6.33,,1.92504,685.0,
2018-01-16,,,,19.44,2400.1,13711.0,,,0.786244,,,,,,929.89,,0.009757,,,12.985,40.883,1278.8,,,,3.4779,,233.21,1551.96,417.0,1.33757,190.14,,,,51.49,,0.602,,,0.07833,,,,6.34,,1.73382,679.85,
2018-01-17,,,,15.66,1852.0,11769.6,,,0.683705,,,,,,825.0,,0.007879,,,10.53,31.2329,1088.3,,,,2.9236,,214.89,1138.5,326.635,0.97956,155.45,,,,38.597,,0.50439,,,0.106,,,,5.391,,1.42809,529.0,
2018-01-18,,,,15.9,1873.5,12004.7,,,0.6986,,,,,,885.93,119.1426,0.009238,,,11.3,33.0625,1079.0,,,,3.02,,211.0,1500.0,341.143,1.11337,160.28,,,,39.8,,0.5618,,,0.106,,,,6.284,,1.75914,535.0,
2018-01-19,,,,15.48,1847.6,11973.2,,,0.69145,,,,,,863.29,107.5205,0.008466,,,11.662,34.6151,1079.0,,,,2.913,,203.0,1785.22,363.2,1.123,151.0,,,,42.808,,0.528,,,0.086216,,,,6.196,,1.7128,549.0,
2018-01-20,,,,16.65,2109.9,13082.2,,,0.72,,,,,,957.99,124.9999,0.008654,,,15.75,35.9085,1160.0,,,,3.141,,214.88,1731.09,406.0,1.20131,158.0,,,,52.5,,0.55,,,0.0887,,,,8.453,,1.65727,563.05,
2018-01-21,,,,16.26,2019.7,12860.2,,,0.704857,,,,,,925.56,121.5331,0.008385,,,15.574,36.5426,1146.3,,,,2.99,,211.09,1730.0,388.0,1.19783,149.82,,,,52.91,,0.53,,,0.086,,,,8.492,,1.60199,556.8,
2018-01-22,,,,14.48,1806.6,11970.9,,,0.64,,,,,,842.39,107.0,0.007601,,,15.129,33.2917,1084.1,,,,2.9111,,194.7,1678.37,355.0,1.08958,137.74,,,,44.347,,0.53,,,0.084,,,,9.7,,1.44513,507.0,
2018-01-23,,,,13.88,1693.9,11438.0,,,0.58967,,,,,,798.9,106.3193,0.006995,,,13.906,30.5415,1022.0,,,,2.64193,,186.03,1542.11,321.914,1.00749,130.74,,,,41.87,,0.518,,,0.073333,,,,8.75,,1.46006,467.0,
2018-01-24,,,,14.29,1680.0,11549.5,,,0.649,,,,,,791.6,100.0,0.0072,,,13.968,30.4633,1068.8,,,,2.58,,184.69,1555.62,326.259,0.98113,148.07,,,,42.069,,0.5897,,,0.0762,,,,8.803,,1.44365,466.43,
2018-01-25,,,,14.15,1700.0,11740.9,,,0.684,,,,,,823.88,99.5,0.007696,,,15.1,30.476,1102.4,,,,2.5955,,184.78,1601.35,328.0,0.98924,147.0,,,,44.0,,0.648,,,0.075,,,,8.055,,1.40163,476.61,
2018-01-26,,,,13.6,1678.58,11655.3,,,0.655,,,,,,815.0,98.88,0.008294,,,14.767,29.7921,1078.6,,,,2.46,,181.71,1501.03,328.91,1.01465,103.4424,,,,41.779,,0.64822,,,0.073,,,,7.583,,1.32551,491.12,
2018-01-27,,,,13.55,1667.18,11621.7,,,0.642,,,,,,787.98,94.1,0.007499,,,14.7,30.1829,1125.3,,,,2.5,,182.0,1488.54,334.722,1.09385,102.2695,,,,40.549,,0.6399,,,0.0733,,,,7.5,,1.24298,464.28,
2018-01-28,,,,14.01,1762.65,12112.7,,,0.667275,,,,,,825.42,97.41,0.00814,,,14.96,34.1119,1264.8,,,,2.5596,,192.47,1599.93,341.25,1.04755,100.9628,,,,43.09,,0.635,,,0.0739,,,,7.399,,1.39393,485.52,
2018-01-29,,,,13.87,1761.81,11888.1,,,0.646478,,,,,,827.6,106.4802,0.00765,,,14.85,33.1563,1259.8,,,,2.5849,,191.12,1533.63,339.712,1.00081,131.8338,,,,44.5,,0.62891,,,0.0682,,,,6.911,,1.37075,481.01,
2018-01-30,0.17,,,12.84,1658.37,11277.2,,,0.603,,,,,,788.16,113.3975,0.007039,,,13.5954,31.2935,1178.92,25.6,,,2.62168,,181.37,1416.76,316.466,0.949,132.9815,,,,41.7141,,0.57942,,,0.06511,,,,7.012155,,1.27281,449.2,
2018-01-31,0.15,,,11.5,1522.96,10397.7,,,0.517,,,,,,705.64,103.5,0.006237,,,12.1794,28.8213,1126.87,25.54,,,2.34734,,167.225,1339.35,284.231,0.82029,122.8718,,,,41.3097,,0.54844,,,0.055197,,,,6.599491,,1.14804,401.01,
2018-02-01,0.14,,,11.45,1505.21,10303.0,,,0.521698,,,,,,712.39,108.0,0.00611,,,12.1831,28.9403,1157.09,25.69,,,2.31471,,166.254,1395.0,278.8,0.85532,111.1476,,,,41.0798,,0.54095,,,0.058674,,,,6.503947,,1.14261,413.36,
2018-02-02,0.11,,,10.7,1277.56,9201.4,,,0.421712,0.52,,,,1.29664,622.9,94.0,0.005127,,,11.0993,25.1781,1036.17,24.7,,,1.94318,,142.947,1276.46,252.011,0.67842,116.6181,,,,35.5427,,0.45408,,,0.047007,,,,5.464527,,0.96437,403.86,
2018-02-03,0.12,,,10.32,1318.13,9506.9,,,0.518541,0.54,,,,1.08245,649.21,90.0,0.00578,,,11.2573,24.8791,997.51,25.19,,,2.0468,,166.182,1248.38,258.888,0.67668,107.537,,,,32.0746,,0.48514,,,0.049961,,,,5.948793,,1.01952,408.7,
2018-02-04,0.12,,,9.75,1293.59,9382.1,,,0.485,0.52,,,,1.02892,654.48,90.0,0.005309,,,10.8599,24.7517,972.66,24.69,,,2.07562,,174.553,1193.77,258.553,0.69092,93.3838,,,,31.0878,,0.47344,,,0.046608,,,,5.561304,,0.96898,407.94,
2018-02-05,0.09,,,8.56,1177.41,8383.2,,,0.396215,0.46,,,,1.01803,557.83,82.8,0.004491,,,9.2968,21.2748,859.72,22.43,,,1.7756,,154.089,1054.98,222.875,0.57719,85.422,,,,26.6553,,0.41928,,,0.039312,,,,4.582431,,0.83638,352.93,
2018-02-06,0.09,,,8.6,976.07,7896.2,,,0.369196,0.45,,,,1.213,535.23,73.4937,0.004437,,,8.4253,19.3186,797.94,22.5,,,1.71736,,146.861,935.0,213.287,0.56596,102.5587,,,,24.0058,,0.36515,,,0.036835,,,,4.437139,,0.77926,375.87,
2018-02-07,0.09,,,9.23,1033.36,8536.5,,,0.38,0.46,,,,1.04393,584.48,77.0,0.004799,,,8.9788,20.4576,852.98,22.73,,,1.88469,,158.499,1088.0,231.959,0.60062,110.1008,,,,24.6342,,0.38876,0.1469,,0.039299,,,,4.631263,,0.81291,392.9,
2018-02-08,0.09,,,8.38,1338.04,8489.9,,,0.36097,0.43,,,,1.01942,613.05,79.0,0.004832,,,8.7234,21.8617,831.02,21.61,,,1.87239,,150.384,1034.34,255.277,0.67183,101.1101,,,,26.6125,,0.37376,0.1388,,0.038483,,,,4.376609,,0.79002,443.41,
