Unnamed: 0,Aave,Algorand,Avalanche,Binance Coin,Bitcoin Cash,Bitcoin,Bitcoin SV,BitTorrent,Cardano,Chainlink,Compound,Cosmos,Crypto.com Coin,Dai,Dash,Decred,Dogecoin,DREP,Elrond,EOS,Ethereum Classic,Ethereum,Filecoin,FTX Token,Huobi Token,IOTA,Kusama,Litecoin,Maker,Monero,NEM,Neo,OKB,Polkadot,Polygon,Qtum,Solana,Stellar,THETA,THORChain,TRON,UNUS SED LEO,USD Coin,Uniswap,VeChain,Wrapped Bitcoin,XRP,Zcash,
2018-01-01,,,,7.8,2241.3,12877.7,,,0.632,,,,,,967.0,,0.00796,,,7.2,25.24,717.94,,,,3.39,,217.66,,314.5,0.9553,72.06,,,,49.09,,0.3521,,,0.037889,,,,2.16,,1.81,460.1,
2018-01-02,,,,8.09,2291.9,12934.2,,,0.675,,,,,,1018.4,,0.008316,,,7.62,29.23,752.46,,,,3.79,,225.21,,335.1,0.9978,78.12,,,,46.5,,0.462,,,0.045,,,,2.27,,1.89,512.0,
2018-01-03,,,,8.27,2501.0,14579.7,,,0.88821,,,,,,1087.0,,0.00834,,,7.83,30.1,840.0,,,,3.9,,240.72,,360.0,1.12,85.84,,,,50.5,,0.5524,,,0.06215,,,,2.57,,2.15,532.0,
2018-01-04,,,,8.56,2294.8,14244.7,,,1.05,,,,,,1032.3,,0.008559,,,9.15,30.74,893.24,,,,3.71,,226.79,,353.06,1.52,92.0,,,,45.53,,0.625,,,0.072515,,,,3.0,,2.58,507.0,
2018-01-05,,,,8.97,2289.5,14832.4,,,0.90701,,,,,,1057.5,,0.009434,,,8.51,30.55,930.0,,,,3.62,,236.24,,338.51,1.49,88.88,,,,44.41,,0.5353,,,0.154561,,,,3.09,,2.24,523.0,
2018-01-06,,,,14.7,2315.1,16286.6,,,0.9229,,,,,,1057.6,,0.01201,,,8.72,30.93,951.38,,,,3.75,,245.0,,349.25,1.45,91.01,,,,44.88,,0.581,,,0.129701,,,,3.37,,2.46,525.61,
2018-01-07,,,,18.05,2480.0,15791.1,,,0.98,,,,,,1151.0,,0.014,,,9.76,33.95,999.5,,,,3.95,,265.24,,391.0,1.58,98.36,,,,58.33,,0.672,,,0.143547,,,,4.11,,2.58,646.0,
2018-01-08,,,,14.0,2193.8,13902.3,,,0.752,,,,,,967.08,,0.01542,,,8.13,28.4,968.12,,,,3.2,,231.64,,338.85,1.31,86.14,,,,47.31,,0.5175,,,0.126,,,,3.51,,1.93,570.0,
2018-01-09,,,,16.43,2309.9,14613.4,,,0.7729,,,,,,1032.9,,0.012394,,,8.74,30.338,1119.1,,,,3.4051,,238.75,,392.826,1.30352,100.26,,,,50.0,,0.54812,,,0.090226,,,,4.1,,1.98827,630.1,
2018-01-10,,,,14.6,2270.0,13613.1,,,0.655933,,,,,,1017.2,,0.010701,,,8.3671,34.2713,1203.2,,,,3.1,,232.52,,362.18,1.16798,105.76,,,,47.31,,0.4649,,,0.091,,,,4.0,,1.6817,613.33,
2018-01-11,,,,13.9,2328.8,13048.3,,,0.523,,,,,,950.0,,0.0101,,,8.9335,31.477,1102.5,,,,2.98,,220.0,,339.988,1.08075,99.94,,,,40.81,,0.425,,,0.09336,,,,4.8,,1.64395,585.0,
2018-01-12,,,,19.28,2362.0,13410.0,,,0.631002,,,,,,960.0,,0.010708,,,10.599,32.2154,1083.4,,,,3.2206,,220.52,,338.045,1.17434,102.5,,,,42.91,,0.52,,,0.0941,,,,5.5,,1.85842,608.0,
2018-01-13,,,,21.1,2549.9,13888.2,,,0.8329,,,,,,1043.2,,0.012021,,,13.431,35.3663,1252.6,,,,3.6357,,235.51,,386.973,1.38019,122.52,,,,49.391,,0.62943,,,0.083,,,,5.2,,1.9881,682.38,
2018-01-14,,,,18.27,2413.0,13094.7,,,0.729,,,,,,969.05,,0.01056,,,12.888,40.2622,1256.0,,,,3.5709,,233.82,,370.0,1.24715,132.52,,,,47.66,,0.5649,,,0.0785,,,,5.21,,1.82547,631.23,
2018-01-15,,,,19.05,2333.2,13475.4,,,0.76727,,,,,,925.9,,0.009679,,,12.671,40.6805,1264.4,,,,3.4186,,231.11,,383.585,1.29548,145.0,,,,51.02,,0.59,,,0.058042,,,,5.34,,1.67782,620.0,
2018-01-16,,,,10.0,1512.1,10050.7,,,0.45,,,,,,623.27,,0.005551,,,8.3123,23.1639,868.98,,,,1.9347,,147.0,958.0,255.0,0.55134,105.0,,,,28.19,,0.32,,,0.04,,,,3.72,,0.90028,445.0,
2018-01-17,,,,9.4,1345.6,9271.3,,,0.4353,,,,,,610.1,,0.005416,,,7.51,22.4708,770.1,,,,1.9421,,135.0,791.33,237.392,0.65712,93.53,,,,26.323,,0.3,,,0.044703,,,,3.5,,0.88529,395.85,
2018-01-18,,,,13.1,1656.0,10660.2,,,0.582,,,,,,740.0,76.0,0.007052,,,9.6902,28.0774,940.0,,,,2.5501,,176.31,1026.0,296.372,0.86328,127.29,,,,33.5,,0.44,,,0.07005,,,,4.434,,1.25973,469.5,
2018-01-19,,,,13.5,1668.9,10901.5,,,0.59,,,,,,776.45,76.0,0.007231,,,9.735,29.1748,960.1,,,,2.4,,187.1,1330.75,300.449,0.92475,131.0,,,,35.0,,0.46296,,,0.065,,,,5.054,,1.50367,466.63,
2018-01-20,,,,14.82,1742.1,11567.3,,,0.64,,,,,,829.21,89.0005,0.0076,,,11.037,32.2848,1029.6,,,,2.6618,,192.5,1402.07,351.0,1.06902,136.3,,,,37.741,,0.48912,,,0.075302,,,,5.813,,1.52065,511.22,
2018-01-21,,,,13.05,1700.0,11164.5,,,0.58,,,,,,790.0,92.5,0.006794,,,12.1,29.5924,1001.5,,,,2.61,,183.12,1496.7,331.0,0.98073,124.72,,,,39.8,,0.431,,,0.0673,,,,6.7,,1.35002,469.0,
2018-01-22,,,,11.66,1504.4,10136.8,,,0.515,,,,,,700.0,94.0,0.006169,,,12.466,27.0125,912.76,,,,2.123,,165.5,1430.0,285.0,0.88259,110.55,,,,35.52,,0.421,,,0.062,,,,7.406,,1.1701,405.7,
2018-01-23,,,,11.64,1480.1,10056.6,,,0.516647,,,,,,682.97,89.0,0.006082,,,11.605,26.7091,905.38,,,,2.203,,165.01,1424.1,284.0,0.8616,110.0,,,,35.121,,0.429,,,0.061836,,,,6.7,,1.21422,401.12,
2018-01-24,,,,12.6,1552.6,10584.5,,,0.537,,,,,,720.11,90.0,0.006382,,,12.5,28.394,952.04,,,,2.3426,,172.23,1489.05,297.717,0.90118,117.5,,,,37.674,,0.47,,,0.066,,,,7.338,,1.321,422.0,
2018-01-25,,,,13.01,1600.1,10983.8,,,0.62,,,,,,780.0,90.1454,0.00685,,,13.486,29.0546,1025.1,,,,2.33,,175.0,1428.76,305.1,0.91147,134.43,,,,39.061,,0.55,,,0.068,,,,6.99,,1.28565,446.48,
2018-01-26,,,,12.01,1494.03,10389.4,,,0.5611,,,,,,730.21,78.101,0.006608,,,12.881,26.8942,983.0,,,,2.19,,166.15,1417.91,288.112,0.7754,86.4052,,,,35.0,,0.544,,,0.06,,,,5.5,,1.12097,423.47,
2018-01-27,,,,12.85,1566.08,10908.4,,,0.595,,,,,,746.94,88.5,0.007072,,,13.866,28.2619,1031.6,,,,2.342,,173.96,1354.75,308.0,0.82919,83.2022,,,,37.942,,0.606,,,0.0645,,,,6.5,,1.18317,433.05,
2018-01-28,,,,13.3,1636.39,11433.3,,,0.613098,,,,,,765.03,89.0,0.00735,,,14.13,29.5369,1109.0,,,,2.4412,,178.65,1400.01,321.014,0.97005,82.9489,,,,39.667,,0.6074,,,0.0661,,,,6.7,,1.21828,452.1,
2018-01-29,,,,12.74,1638.64,11119.0,,,0.588,,,,,,749.0,89.0,0.006866,,,13.32,30.4341,1155.9,,,,2.3791,,175.56,1416.76,310.51,0.90541,100.6139,,,,40.7,,0.5652,,,0.06294,,,,6.25,,1.25299,443.34,
2018-01-30,0.14,,,11.11,1461.0,9917.7,,,0.5,,,,,,682.91,94.0,0.006071,,,11.0405,26.8792,1042.9,24.21,,,2.15453,,161.049,1286.85,268.211,0.81226,112.9958,,,,35.6583,,0.46334,,,0.052138,,,,5.634877,,1.09043,380.0,
2018-01-31,0.13,,,10.55,1405.53,9742.2,,,0.463001,,,,,,663.2,89.0445,0.005805,,,10.3804,26.0846,1028.03,23.98,,,2.17535,,157.317,1230.21,266.309,0.77745,109.2732,,,,34.2324,,0.44135,,,0.050641,,,,5.689248,,1.02701,367.21,
2018-02-01,0.11,,,8.66,1214.97,8789.2,,,0.389,,,,,,591.01,81.0,0.004932,,,9.8407,24.0212,970.42,23.46,,,1.72603,,130.041,1250.88,230.516,0.65603,89.2857,,,,33.9804,,0.42181,,,0.043992,,,,4.944461,,0.89933,374.08,
