Unnamed: 0,Aave,Algorand,Avalanche,Binance Coin,Bitcoin Cash,Bitcoin,Bitcoin SV,BitTorrent,Cardano,Chainlink,Compound,Cosmos,Crypto.com Coin,Dai,Dash,Decred,Dogecoin,DREP,Elrond,EOS,Ethereum Classic,Ethereum,Filecoin,FTX Token,Huobi Token,IOTA,Kusama,Litecoin,Maker,Monero,NEM,Neo,OKB,Polkadot,Polygon,Qtum,Solana,Stellar,THETA,THORChain,TRON,UNUS SED LEO,USD Coin,Uniswap,VeChain,Wrapped Bitcoin,XRP,Zcash,
2018-01-01,,,,8.45,2306.1,13444.9,,,0.7022,,,,,,1018.4,,0.008678,,,7.63,29.23,752.46,,,,3.9,,225.22,,335.1,1.01,78.35,,,,51.7,,0.4848,,,0.046147,,,,2.44,,2.05,512.0,
2018-01-02,,,,8.72,2552.3,14754.1,,,0.762,,,,,,1162.9,,0.009,,,8.3,31.87,858.78,,,,3.98,,253.31,,364.17,1.13,88.82,,,,53.22,,0.557,,,0.067184,,,,2.63,,2.19,544.01,
2018-01-03,,,,9.3,2557.7,15156.6,,,1.08,,,,,,1131.4,,0.009205,,,9.43,33.11,942.01,,,,4.13,,244.99,,386.0,1.75,104.76,,,,52.49,,0.886,,,0.07261,,,,3.72,,2.73,555.47,
2018-01-04,,,,9.14,2349.7,15180.1,,,1.1043,,,,,,1118.0,,0.009613,,,9.47,33.77,940.0,,,,4.1,,238.91,,368.1,1.6,97.61,,,,45.6,,0.6948,,,0.154577,,,,3.91,,2.73,545.0,
2018-01-05,,,,14.88,2382.2,16954.8,,,0.994903,,,,,,1079.8,,0.01255,,,9.29,31.16,962.77,,,,3.76,,246.23,,356.96,1.56,94.72,,,,50.05,,0.6351,,,0.202607,,,,3.67,,2.51,544.46,
2018-01-06,,,,22.6,2529.4,17172.3,,,1.035795,,,,,,1156.3,,0.01463,,,9.83,34.0,1004.3,,,,3.99,,279.42,,394.0,1.63,100.35,,,,69.01,,0.6883,,,0.163902,,,,5.08,,2.65,655.0,
2018-01-07,,,,18.59,2526.4,16228.2,,,1.006,,,,,,1157.9,,0.017,,,10.16,35.45,1115.8,,,,4.08,,272.06,,400.25,1.8,100.73,,,,61.0,,0.7054,,,0.196712,,,,4.54,,2.78,752.3,
2018-01-08,,,,18.0,2400.0,14976.2,,,0.9,,,,,,1075.8,,0.01542,,,9.6,33.81,1129.3,,,,3.793,,255.35,,400.05,1.57,100.36,,,,55.02,,0.614,,,0.14384,,,,4.26,,2.41,693.6,
2018-01-09,,,,17.4,2370.8,14778.5,,,0.81,,,,,,1102.1,,0.0131,,,9.23,37.7706,1283.7,,,,3.5295,,246.79,,408.032,1.43806,126.53,,,,52.01,,0.56237,,,0.121898,,,,4.8,,2.1219,664.0,
2018-01-10,,,,17.48,2851.0,15043.0,,,0.7765,,,,,,1093.3,,0.012839,,,11.2,36.9539,1248.0,,,,3.7355,,248.5,,403.437,1.37387,122.6,,,,52.85,,0.55799,,,0.1212,,,,6.6,,1.99901,714.0,
